PageNum,URL,Rating,Date,Title,Review
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,2.0 out of 5 stars,"Reviewed in the United States on March 2, 2020",annoying,"Just repeats the same instruction over and over. says “i can either play a random animal sound for you to guess, or you can tell me.. which would you like me to do?” between each attempt to play one sound. trying to play for a toddler and no one wants to hear the words repeatedly."
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,3.0 out of 5 stars,"Reviewed in the United States on April 10, 2020","Fun sounds, stick to the sounds","The sounds are fun, my kid loved them. But there's so much talking in between. I'd say if you want to still have the guessing game, split that out into it's own skill and make this still simple and fast to hear animal sounds."
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on March 1, 2020",wont shut up,it just says the same thing over and over
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on April 9, 2020",chatty chatty,"alexa stop talking! you ask for a basic sohnd, get a 2 second clip, then 2 minutes of her jibberish. disbaled within 5 minutes"
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on January 13, 2020",dumb app,I have no idea why this need perental permition and I have to go through 10 steps to get it but save yourself the headache and do not download this app.
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on November 7, 2016",&quot;You are not eligible to enable this skill due to geographical restrictions.&quot;,seriously???&quot;You are not eligible to enable this skill due to geographical restrictions.&quot;don't all lions speak the same language smh?
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,4.0 out of 5 stars,"Reviewed in the United States on June 3, 2016",One of the intresting skill for kids,"This is a nice skill.I always play around with this with my 9 month old son. He enjoys a lot. Its a good to try skill for all those who have kids in their home.I have also noticed some improvements and new additions, however the skill wieredly exists sometimes which is strange.Overall a good skill."
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,1.0 out of 5 stars,"Reviewed in the United States on March 18, 2020",turn off the instructions,you dont need to have Alexa give instructions after every animal sound played.
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,1.0 out of 5 stars,"Reviewed in the United States on March 28, 2020",Overcomplicated,This function easily overcomplicates a simple request for an impatient child to hear an animal sound. I fail to see the logic in requiring additional steps for a sinple animal sound.
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,3.0 out of 5 stars,"Reviewed in the United States on January 26, 2016",Great way to irritate a dog,"Here is the most fun way to use this app. A dog is necessary and sitting best Alexa.  Ask for wolf, dog or coyote sounds and watch your dog react. Very funny. But I agree some sounds are too low or too brief"
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,1.0 out of 5 stars,"Reviewed in the United States on March 1, 2020",Awful.,"You used to be able to ask her to make a sound, and she would simply make the sound. Now she continues to say the same annoying things over and over and over and over and over again."
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,2.0 out of 5 stars,"Reviewed in the United States on January 24, 2020",Doesnt work properly,SKIP THIS SKILL.
5,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,1.0 out of 5 stars,"Reviewed in the United States on November 23, 2019",does not accept my credit card security number,dosen't work wont accept creditcard security number
